"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-19","0.00","0.0","0.0","35","42","28",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-20","0.00","0.0","0.0","27","36","18",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-21","0.00","0.0","0.0","15","21","9",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-22","0.03","0.4","0.0","23","27","19",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-23","0.00","0.0","0.0","24","30","18",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-24","1.11","0.0","0.0","43","56","30",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-25","0.00","0.0","0.0","42","55","28",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-26","0.00","0.0","0.0","31","40","22",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-27","0.00","0.0","0.0","23","29","17","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-28","0.00","0.0","0.0","20","28","11",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-01","0.00","0.0","0.0","31","42","20",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-02","0.00","0.0","0.0","35","42","28",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-03","0.00","0.0","0.0","36","49","22",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-04","0.00","0.0","0.0","30","35","24",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-05","0.00","0.0","0.0","23","28","18",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-06","0.00","0.0","0.0","28","34","21",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-07","0.00","0.0","0.0","33","44","22",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-08","0.01","0.1","0.0","31","35","27",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-09","0.00","0.0","0.0","31","38","23","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-10","0.04","0.0","0.0","34","50","18",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-11","0.03","0.1","0.0","33","38","28",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-12","0.22","0.0","0.0","40","49","30",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-13","0.00","0.0","0.0",,"42","31",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-14","0.01","0.0","0.0","38","50","25",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-15","0.44","0.0","0.0","39","45","33",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-16","0.46","4.0","1.0","32","34","30",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-17","0.00","0.0","4.0","32","38","26",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-18","0.00","0.0","3.0","32","44","20",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-19","0.00","0.0","1.0","36","46","25",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-20","0.00","0.0","0.0","38","48","27",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-21","0.00","0.0","0.0","41","52","29",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-22","0.00","0.0","0.0","42","56","28",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-23","0.00","0.0","0.0","42","50","34",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-24","0.00","0.0","0.0","29","36","21",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-25","0.00","0.0","0.0","22","25","19",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-26","0.00","0.0","0.0","25","33","16",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-27","0.00","0.0","0.0","32","39","24",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-28","0.01","0.0","0.0","36","49","22","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-29","0.01","0.0","0.0","41","46","35",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-30","0.00","0.0","0.0","42","51","32","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-31","0.07","0.0","0.0","46","56","35",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-01","0.00","0.0","0.0","40","49","30",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-02","0.00","0.0","0.0","45","60","30",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-03","0.00","0.0","0.0","41","46","35",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-04","0.00","0.0","0.0","42","52","31",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-05","0.45","0.0","0.0","48","60","36",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-06","0.18","0.0","0.0","53","62","44",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-07","0.00","0.0","0.0","64","83","44","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-08","0.00","0.0","0.0","61","77","45",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-09","0.24","0.0","0.0","52","59","44",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-10","0.00","0.0","0.0","47","51","43","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-11","0.53","0.0","0.0","64","77","51",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-12","0.00","0.0","0.0","57","66","47",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-13","0.00","0.0","0.0","48","59","37",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-14","0.01","0.0","0.0","52","65","38",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-15","0.19","0.0","0.0","49","54","43",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-16","0.02","0.3","0.0","36","42","29",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-17","0.00","0.0","0.0","38","46","29",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-18","0.00","0.0","0.0","41","55","26",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-19","0.00","0.0","0.0","51","68","33",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-20","0.18","0.0","0.0","64","77","51",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-21","0.32","0.0","0.0","69","82","55",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-22","0.09","0.0","0.0","65","78","51",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-23","0.57","0.0","0.0","58","72","44",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-24","0.00","0.0","0.0","52","61","42",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-25","0.00","0.0","0.0","51","60","42",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-26","0.00","0.0","0.0","61","76","46",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-27","0.00","0.0","0.0","52","63","40",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-28","0.00","0.0","0.0","53","65","40",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-29","0.00","0.0","0.0","61","75","46",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-04-30","0.04","0.0","0.0","68","85","50",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-01","0.00","0.0","0.0","73","83","62",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-02","0.00","0.0","0.0","73","81","65",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-03","0.00","0.0","0.0","72","86","58",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-04","0.01","0.0","0.0","55","60","49",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-05","0.00","0.0","0.0","58","66","50",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-06","0.18","0.0","0.0","65","75","54",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-07","0.11","0.0","0.0","60","67","53",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-08","0.00","0.0","0.0","62","76","48",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-09","0.00","0.0","0.0","67","80","53",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-10","0.48","0.0","0.0","70","81","58",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-11","0.24","0.0","0.0","54","64","44",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-12","0.00","0.0","0.0","48","57","38","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-13","0.00","0.0","0.0","53","68","37",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-14","0.12","0.0","0.0","54","66","42",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-15","0.00","0.0","0.0","72","88","55",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-16","0.16","0.0","0.0","77","89","64",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-17","0.03","0.0","0.0","74","85","62",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-18","0.00","0.0","0.0","65","73","56",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-19","0.00","0.0","0.0","61","73","49","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-20","0.01","0.0","0.0","63","77","49",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-21","0.15","0.0","0.0","62","70","53",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-22","0.07","0.0","0.0","56","61","45","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-23","0.06","0.0","0.0","54","63","44",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-24","0.16","0.0","0.0","51","60","42",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-25","0.07","0.0","0.0","51","59","43",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-26","0.81","0.0","0.0","48","57","38",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-27","0.15","0.0","0.0","55","61","49",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-28","0.09","0.0","0.0","59","67","50",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-29","0.00","0.0","0.0","53","62","44",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-30","0.00","0.0","0.0","53","60","45",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-05-31","0.44","0.0","0.0","53","62","44",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-01","0.43","0.0","0.0","57","65","49",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-02","0.02","0.0","0.0","53","56","50",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-03","0.00","0.0","0.0","52","55","49",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-04","0.00","0.0","0.0","51","55","46",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-05","0.64","0.0","0.0","53","58","47",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-06","0.00","0.0","0.0","57","62","52",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-07","0.00","0.0","0.0","59","68","50",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-08","0.00","0.0","0.0","61","74","48",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-09","0.00","0.0","0.0","66","81","50",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-10","0.00","0.0","0.0","74","83","65",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-11","0.35","0.0","0.0","76","87","64","    0"
